Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,0,2,49.596666666666664,130.89444444444445,169.05444444444444,13.47945427555143,35.57468268322997,45.9458630412186,7.849196089700683,100,95,0/1044,0/512,-,-,-
0,0,3,48.36222222222222,130.55666666666667,168.31222222222223,13.231565271929039,35.719389583626665,46.04904514444431,8.128586947088358,100,95,0/1044,0/512,-,-,-
0,0,4,48.28333333333333,130.37333333333333,168.19333333333333,13.22449666041997,35.70842342991687,46.06707990966316,8.639191776785555,100,95,0/1044,0/512,-,-,-
0,0,5,47.86222222222222,130.0588888888889,168.93,13.109115022135658,35.622184991318726,46.26869998654562,8.9766274939227,100,95,0/1044,0/512,-,-,-
0,0,6,47.88444444444445,130.0888888888889,170.77666666666667,13.043791318199922,35.43639984070092,46.51980884109917,9.557643695299388,100,95,0/1044,0/512,-,-,-
0,0,7,47.38777777777778,130.14333333333335,171.35444444444445,12.903483154297652,35.437456408819195,46.65906043688316,9.769288351390905,100,95,0/1044,0/512,-,-,-
0,0,8,46.61666666666667,130.0288888888889,171.64555555555555,12.715177597284518,35.46672323918051,46.81809916353497,9.731795275399884,100,95,0/1044,0/512,-,-,-
0,0,9,46.221111111111114,129.85444444444445,171.88222222222223,12.619363141121847,35.453072211826466,46.92756464705168,10.097759142216134,100,95,0/1044,0/512,-,-,-
0,0,10,45.42,130.62444444444444,173.07888888888888,12.35924267450853,35.54423619796888,47.096521127522585,9.929268083594671,100,95,0/1044,0/512,-,-,-
0,0,11,46.26777777777778,131.04666666666665,173.73222222222222,12.520953212931492,35.46375600584918,47.01529078121935,10.030163074408176,100,95,0/1044,0/512,-,-,-
0,0,12,46.39888888888889,131.23555555555555,173.87333333333333,12.539962763586708,35.468284248491415,46.99175298792187,10.24425465572939,100,95,0/1044,0/512,-,-,-
0,1,2,51.464444444444446,135.37333333333333,174.32555555555555,13.537150012152091,35.608450470239696,45.85439951760823,8.120928739719922,100,95,0/1044,0/512,-,-,-
0,1,3,49.41888888888889,135.2211111111111,173.92666666666668,13.093226116327351,35.825989278299396,46.080784605373246,8.503913470791614,100,95,0/1044,0/512,-,-,-
0,1,4,49.04333333333334,134.86,174.77777777777777,12.989579106169826,35.71891466576625,46.29150622806392,9.050355636937502,100,95,0/1044,0/512,-,-,-
