Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,0,2,45.16777777777778,124.00444444444445,164.54444444444445,15.564983602190814,42.7323910835872,56.702625314221976,8.796303909778466,120,115,0/1044,0/512,-,-,-
0,0,3,44.346666666666664,123.70666666666666,163.29333333333332,15.391332340750873,42.93469075691119,56.67397690233792,8.935732892770687,120,115,0/1044,0/512,-,-,-
0,0,4,43.553333333333335,123.32333333333334,164.12666666666667,15.131670375927735,42.84604384648694,57.02228577758532,9.76432612699862,120,115,0/1044,0/512,-,-,-
0,0,5,42.815555555555555,123.28,164.13888888888889,14.909979778675757,42.93071252409904,57.1593076972252,9.814213088604044,120,115,0/1044,0/512,-,-,-
0,0,6,42.63111111111111,123.93888888888888,165.1611111111111,14.778769954246746,42.96543720148179,57.25579284427146,9.87572425778827,120,115,0/1044,0/512,-,-,-
0,0,7,42.87777777777778,124.07444444444444,166.88222222222223,14.77062815567264,42.74142871882603,57.48794312550133,10.30966178950199,120,115,0/1044,0/512,-,-,-
0,0,8,43.38333333333333,123.84444444444445,166.02444444444444,14.970892917276535,42.73673260493386,57.292374477789586,10.24555346498683,120,115,0/1044,0/512,-,-,-
0,0,9,42.71,124.21333333333334,167.0988888888889,14.704560574812053,42.76521854833344,57.53022087685449,10.395023596126132,120,115,0/1044,0/512,-,-,-
0,0,10,44.111111111111114,125.28111111111112,168.46777777777777,15.014437275136974,42.64289284845136,57.342669876411655,10.358716309649855,120,115,0/1044,0/512,-,-,-
0,0,11,43.904444444444444,126.24444444444444,169.35555555555555,14.871708437788412,42.762654064420694,57.36563749779091,10.073373563925857,120,115,0/1044,0/512,-,-,-
0,0,12,42.42333333333333,126.76,169.36444444444444,14.410619869836195,43.058619659788704,57.5307604703751,10.116453911881097,120,115,0/1044,0/512,-,-,-
0,1,2,47.42333333333333,128.51111111111112,169.64888888888888,15.781094767301662,42.76472952335021,56.454175709348114,8.809032732716087,120,115,0/1044,0/512,-,-,-
0,1,3,46.58,128.37444444444444,169.3088888888889,15.55989116858219,42.88304818339966,56.55706064801816,9.104414343069308,120,115,0/1044,0/512,-,-,-
0,1,4,46.647777777777776,128.31666666666666,169.6677777777778,15.565852809274942,42.817867033778356,56.6162801569467,9.757828115886971,120,115,0/1044,0/512,-,-,-
0,1,5,45.967777777777776,128.30333333333334,170.26777777777778,15.34309947272522,42.82501572149572,56.83188480577906,9.776288980183296,120,115,0/1044,0/512,-,-,-
0,1,6,44.88777777777778,128.61555555555555,171.40444444444444,14.966593324463545,42.88331502462816,57.150091650908294,9.784401754328695,120,115,0/1044,0/512,-,-,-
0,1,7,44.94777777777778,128.42,171.30555555555554,14.996792454046668,42.84723699735015,57.15597054860319,10.006193407514523,120,115,0/1044,0/512,-,-,-
0,1,8,43.92444444444445,128.7511111111111,171.83777777777777,14.662164341325285,42.977662532009724,57.360173126664996,10.06111734141285,120,115,0/1044,0/512,-,-,-
0,1,9,43.20777777777778,129.0077777777778,171.83444444444444,14.442361413877181,43.121332493662095,57.43630609246072,10.311180680013752,120,115,0/1044,0/512,-,-,-
0,1,10,43.464444444444446,129.0911111111111,172.38888888888889,14.490481559027218,43.03730069254308,57.4722177484297,10.081363698029719,120,115,0/1044,0/512,-,-,-
0,1,11,44.068888888888885,129.83333333333334,172.3188888888889,14.637819761937617,43.12513839903209,57.23704183903029,10.268847048793598,120,115,0/1044,0/512,-,-,-
